n,seed,T,kernel,family,gap,C_kT,C_far
8,1,1.0,uniform,naive,0.010608365086459015,0.017044894329971444,0.011306264010220769
8,1,1.0,single-flip,local,0.0008992982314054432,0.09555712262645283,0.0
8,1,1.0,add-delete-swap,local,0.004186926030338101,0.07071149520521224,0.0
8,1,1.0,quench,quench,0.07667288747286072,0.1626330404810593,0.0898371590211246
8,1,1.0,"demon(L=4,Td=1)",local,0.0036871981980480806,0.1464316614094568,0.005138807081705702
8,1,1.0,"demon(L=4,Td=8)",local,0.01271849150570703,0.10658133277126922,0.01801252864427364
8,1,1.0,"dlp(t=.5,a=3)",informed,0.001365139720668762,0.1602988127161482,0.0048865508960963784
8,1,1.0,"dlp(t=.05,a=3)",informed,0.011029470643497352,0.027968398028112906,0.010985105759342136
8,1,1.0,"dlp(t=0,a=3)",naive,0.011079477757521161,0.019837181252361318,0.01131229466550876
8,1,1.0,"softspin(c=.1,a=30)",informed,0.010048227531924026,0.03318955596362742,0.010068397023394744
8,1,1.0,"softspin(c=1,a=30)",informed,0.00026752550000552766,0.14902075611483523,0.00035605864849725733
8,1,1.0,shell(eps=2),oracle,0.0372206272478931,1.0000000000000004,0.7027714799972848
8,1,1.0,shell(eps=3),oracle,0.06288771716096231,0.4144199043729473,0.2754039339530744
8,1,1.0,shell(eps=4),oracle,0.0720967088584955,0.2668370105548524,0.18023000681110335
8,1,0.3,uniform,naive,0.007303485057739367,0.003915048484701848,0.006028766216160035
8,1,0.3,single-flip,local,7.609799457242161e-10,8.229377814609039e-05,0.0
8,1,0.3,add-delete-swap,local,1.2230724466100185e-05,0.00012630004291299798,0.0
8,1,0.3,quench,quench,0.08461950199268153,0.07648430493848288,0.08939988114555075
8,1,0.3,"demon(L=4,Td=1)",local,3.3882078254166004e-09,0.00031626715645628983,1.5102012677645804e-06
8,1,0.3,"demon(L=4,Td=8)",local,6.511458794922209e-05,0.0006682782478063979,0.0015840893676649815
8,1,0.3,"dlp(t=.5,a=3)",informed,3.333588960430234e-11,0.000734964836141588,1.0090804788535022e-07
8,1,0.3,"dlp(t=.05,a=3)",informed,0.001754920768467394,0.0011272315403438014,0.0023351555888205576
8,1,0.3,"dlp(t=0,a=3)",naive,0.007110829116920847,0.00381503192409319,0.006234170952950029
8,1,0.3,"softspin(c=.1,a=30)",informed,0.004476826595446237,0.002492901385286537,0.004621854949112005
8,1,0.3,"softspin(c=1,a=30)",informed,2.269379140162897e-08,0.00040929180793667996,1.511549179014787e-07
8,1,0.3,shell(eps=2),oracle,0.10587471735321452,0.49896643968957666,0.7671777528344239
8,1,0.3,shell(eps=3),oracle,0.14780712567148602,0.16658372785684383,0.25638493660867306
8,1,0.3,shell(eps=4),oracle,0.1086644757643056,0.11101314116243824,0.17079585821190657
8,1,0.1,uniform,naive,0.006415743857144052,0.0039062496834312175,0.006284585777536339
8,1,0.1,single-flip,local,1.6653345369377348e-15,3.735142722318755e-11,0.0
8,1,0.1,add-delete-swap,local,1.425748408223626e-12,2.8074562990963485e-11,0.0
8,1,0.1,quench,quench,0.08947684127166966,0.07631670965089785,0.09127776275514363
8,1,0.1,"demon(L=4,Td=1)",local,1.7763568394002505e-15,4.6140350866799575e-11,8.454871689600491e-16
8,1,0.1,"demon(L=4,Td=8)",local,1.0680678563801393e-11,6.911611722215082e-11,2.6295629350274685e-06
8,1,0.1,"dlp(t=.5,a=3)",informed,0.0,1.9776823079941826e-12,1.2795545328007985e-20
8,1,0.1,"dlp(t=.05,a=3)",informed,3.8805047679613125e-06,2.521396389515733e-06,2.3014816873733996e-05
8,1,0.1,"dlp(t=0,a=3)",naive,0.006240181647315435,0.003799357854104518,0.006532145110028297
8,1,0.1,"softspin(c=.1,a=30)",informed,0.003908128717507786,0.0024313408557121888,0.004889906578210565
8,1,0.1,"softspin(c=1,a=30)",informed,1.3258949493888394e-10,1.9754069619002325e-10,6.36278516386614e-09
8,1,0.1,shell(eps=2),oracle,0.14023141206231793,0.4999999593329636,0.8044268877684876
8,1,0.1,shell(eps=3),oracle,0.19359487667407016,0.16666665312073664,0.2681423128574567
8,1,0.1,shell(eps=4),oracle,0.11749583904217886,0.11111110208050738,0.178761538193757
8,2,1.0,uniform,naive,0.005017704249100974,0.006879608038641385,0.0029834961829326126
8,2,1.0,single-flip,local,0.005851486029936903,0.04248898593987492,0.0
8,2,1.0,add-delete-swap,local,0.01973438172277442,0.040440973763588274,0.0
8,2,1.0,quench,quench,0.05445929208517086,0.06092339532180293,0.01901447179538437
8,2,1.0,"demon(L=4,Td=1)",local,0.022302315394612027,0.09055305036248931,0.0016879947370990727
8,2,1.0,"demon(L=4,Td=8)",local,0.016607591238031016,0.07240865730013057,0.0030812191342543716
8,2,1.0,"dlp(t=.5,a=3)",informed,0.00738905845704152,0.07129536256896532,0.003690404152292242
8,2,1.0,"dlp(t=.05,a=3)",informed,0.017861358714386766,0.01562530016384844,0.004131810185007348
8,2,1.0,"dlp(t=0,a=3)",naive,0.007362457077894735,0.008642623162146947,0.0030270767893825047
8,2,1.0,"softspin(c=.1,a=30)",informed,0.022772256866401164,0.0209221722633912,0.004744621646231293
8,2,1.0,"softspin(c=1,a=30)",informed,0.003090500182321043,0.06932284108034346,0.0004200831047710003
8,2,1.0,shell(eps=2),oracle,0.0,0.22150652846899274,0.07931456098878498
