n,seed,T,variant,theta,cap,mc_draws,C_far_hat,C_J2_hat,mean_dH,mean_acc,frac_id
8,1,1.0,faithful,0.0,,10000,0.3433,0.4238,3.117938144329897,1.0,0.2725
8,1,1.0,theta=0.5,0.5,,10000,0.342,0.4439,3.025979381443299,0.9479003109575024,0.2725
8,1,1.0,theta=1.0,1.0,,10000,0.2048,0.3723,2.0435738831615122,0.38542426317211365,0.2725
8,1,1.0,theta=1.5,1.5,,10000,0.0,0.1993,1.3665979381443298,0.2934192796865501,0.2725
8,1,1.0,theta=2.0,2.0,,10000,0.0,0.2,1.3609621993127148,0.2915002478867817,0.2725
8,1,1.0,cap=2,0.0,2,10000,0.0,0.1221,1.7796563573883162,0.32063692155054224,0.2725
8,1,1.0,cap=3,0.0,3,10000,0.216,0.2965,2.4661168384879724,0.4703932861746317,0.2725
8,1,1.0,cap=5,0.0,5,10000,0.3424,0.4229,3.1124398625429555,0.9953777084390384,0.2725
8,1,0.3,faithful,0.0,,10000,0.4881,0.4911,3.9732197200243458,1.0,0.5071
8,1,0.3,theta=0.5,0.5,,10000,0.4881,0.4914,3.972611077297626,0.999396069997623,0.5071
8,1,0.3,theta=1.0,1.0,,10000,0.1891,0.2565,2.475349969567864,0.011569719058098919,0.5071
8,1,0.3,theta=1.5,1.5,,10000,0.0,0.068,1.4858997768310003,0.007511835771065876,0.5071
8,1,0.3,theta=2.0,2.0,,10000,0.0,0.068,1.4858997768310003,0.007511835771065876,0.5071
8,1,0.3,cap=2,0.0,2,10000,0.0,0.0036,1.9924934063704605,0.008115236371366368,0.5071
8,1,0.3,cap=3,0.0,3,10000,0.1892,0.1922,2.984378170014202,0.012173119670310335,0.5071
8,1,0.3,cap=5,0.0,5,10000,0.4881,0.4911,3.9732197200243458,1.0,0.5071
8,1,0.1,faithful,0.0,,10000,0.484,0.484,4.0,1.0,0.516
8,1,0.1,theta=0.5,0.5,,10000,0.484,0.484,4.0,1.0,0.516
8,1,0.1,theta=1.0,1.0,,10000,0.1804,0.2429,2.499586776859504,3.9764910832365568e-28,0.516
8,1,0.1,theta=1.5,1.5,,10000,0.0,0.0625,1.5039256198347108,9.949444775099797e-29,0.516
8,1,0.1,theta=2.0,2.0,,10000,0.0,0.0625,1.5039256198347108,9.949444775099797e-29,0.516
8,1,0.1,cap=2,0.0,2,10000,0.0,0.0,2.0,9.472236713238935e-44,0.516
8,1,0.1,cap=3,0.0,3,10000,0.1804,0.1804,3.0,2.981546843070614e-28,0.516
8,1,0.1,cap=5,0.0,5,10000,0.484,0.484,4.0,1.0,0.516
8,2,1.0,faithful,0.0,,10000,0.009,0.028,1.6542443064182195,1.0,0.6136
8,2,1.0,theta=0.5,0.5,,10000,0.0078,0.0268,1.6335403726708075,0.9931621089119819,0.6136
8,2,1.0,theta=1.0,1.0,,10000,0.0011,0.0661,1.1524327122153208,0.6582686433095176,0.6136
8,2,1.0,theta=1.5,1.5,,10000,0.0011,0.0662,1.1490683229813665,0.6580046258517472,0.6136
8,2,1.0,theta=2.0,2.0,,10000,0.0,0.0684,1.0323498964803313,0.6339427212839049,0.6136
8,2,1.0,cap=2,0.0,2,10000,0.0,0.0391,1.4055383022774328,0.8591234208673496,0.6136
8,2,1.0,cap=3,0.0,3,10000,0.0086,0.0276,1.5615942028985508,0.9379139807257036,0.6136
8,2,1.0,cap=5,0.0,5,10000,0.0092,0.0282,1.64648033126294,0.9953931464199173,0.6136
8,2,0.3,faithful,0.0,,10000,0.0,0.0,1.25,1.0,0.9988
8,2,0.3,theta=0.5,0.5,,10000,0.0,0.0,1.25,1.0,0.9988
8,2,0.3,theta=1.0,1.0,,10000,0.0,0.0001,1.0,0.7500033524225439,0.9988
8,2,0.3,theta=1.5,1.5,,10000,0.0,0.0001,1.0,0.7500033524225439,0.9988
8,2,0.3,theta=2.0,2.0,,10000,0.0,0.0001,1.0,0.7500033524225439,0.9988
8,2,0.3,cap=2,0.0,2,10000,0.0,0.0,1.25,1.0,0.9988
8,2,0.3,cap=3,0.0,3,10000,0.0,0.0,1.25,1.0,0.9988
8,2,0.3,cap=5,0.0,5,10000,0.0,0.0,1.25,1.0,0.9988
8,2,0.1,faithful,0.0,,10000,0.0,0.0,0.0,0.0,1.0
8,2,0.1,theta=0.5,0.5,,10000,0.0,0.0,0.0,0.0,1.0
8,2,0.1,theta=1.0,1.0,,10000,0.0,0.0,0.0,0.0,1.0
8,2,0.1,theta=1.5,1.5,,10000,0.0,0.0,0.0,0.0,1.0
8,2,0.1,theta=2.0,2.0,,10000,0.0,0.0,0.0,0.0,1.0
8,2,0.1,cap=2,0.0,2,10000,0.0,0.0,0.0,0.0,1.0
8,2,0.1,cap=3,0.0,3,10000,0.0,0.0,0.0,0.0,1.0
8,2,0.1,cap=5,0.0,5,10000,0.0,0.0,0.0,0.0,1.0
8,3,1.0,faithful,0.0,,10000,0.2973,0.4678,2.7024221453287196,1.0,0.3064
8,3,1.0,theta=0.5,0.5,,10000,0.2941,0.4766,2.6368223760092273,0.9773882455637558,0.3064
8,3,1.0,theta=1.0,1.0,,10000,0.2928,0.4895,2.3480392156862746,0.8491201918840977,0.3064
8,3,1.0,theta=1.5,1.5,,10000,0.2925,0.4894,2.3470299884659744,0.8489748251197629,0.3064
8,3,1.0,theta=2.0,2.0,,10000,0.0124,0.2312,1.2295271049596308,0.25679005346468986,0.3064
8,3,1.0,cap=2,0.0,2,10000,0.0,0.2786,1.7876297577854672,0.46016568128872887,0.3064
8,3,1.0,cap=3,0.0,3,10000,0.2913,0.4618,2.3461649365628605,0.8639721226394904,0.3064
8,3,1.0,cap=5,0.0,5,10000,0.3008,0.4713,2.591262975778547,0.9396753797544778,0.3064
8,3,0.3,faithful,0.0,,10000,0.2103,0.2191,2.9487063095778483,1.0,0.7797
8,3,0.3,theta=0.5,0.5,,10000,0.2103,0.2191,2.9487063095778483,1.0,0.7797
8,3,0.3,theta=1.0,1.0,,10000,0.2103,0.2191,2.946436677258284,0.9986559559168918,0.7797
8,3,0.3,theta=1.5,1.5,,10000,0.2103,0.2191,2.946436677258284,0.9986559559168918,0.7797
