n,seed,T,variant,w_icm,gap,vs_baseline,vs_baseline_per_eval
8,1,1.0,baseline,0.0,0.00044964911570710697,1.0,1.0
8,1,1.0,faithful,0.5,0.00022482455785421962,0.5000000000014815,0.33333333333432097
8,1,1.0,theta=1.0,0.5,0.00022912709044142776,0.5095686446110501,0.3397124297407001
8,1,1.0,cap=3,0.5,0.00022762872471637774,0.5062363446626922,0.33749089644179475
8,1,1.0,cap=5,0.5,0.00022499566959433004,0.5003805450401198,0.33358703002674644
8,1,0.3,baseline,0.0,3.8049208228585485e-10,1.0,1.0
8,1,0.3,faithful,0.5,1.9024681829904466e-10,0.5000020425027312,0.3333346950018207
8,1,0.3,theta=1.0,0.5,1.9253365568516756e-10,0.5060122526820978,0.33734150178806527
8,1,0.3,cap=3,0.5,1.9108747917329083e-10,0.5022114468855918,0.3348076312570612
8,1,0.3,cap=5,0.5,1.9024959385660623e-10,0.5000093371553422,0.33333955810356153
8,1,0.1,baseline,0.0,2.220446049250313e-16,1.0,1.0
8,1,0.1,faithful,0.5,-6.661338147750939e-16,-3.0,-2.0
8,1,0.1,theta=1.0,0.5,1.5543122344752192e-15,7.0,4.666666666666667
8,1,0.1,cap=3,0.5,3.6637359812630166e-15,16.5,11.0
8,1,0.1,cap=5,0.5,-8.881784197001252e-16,-4.0,-2.6666666666666665
8,2,1.0,baseline,0.0,0.002925743014967952,1.0,1.0
8,2,1.0,faithful,0.5,0.0014628715074843646,0.5000000000001328,0.33333333333342186
8,2,1.0,theta=1.0,0.5,0.0014811301402098964,0.5062406823266808,0.3374937882177872
8,2,1.0,cap=3,0.5,0.0014758851875783519,0.5044479915111473,0.3362986610074315
8,2,1.0,cap=5,0.5,0.0014698508086361528,0.5023854798991132,0.3349236532660754
8,2,0.3,baseline,0.0,2.116027397414122e-06,1.0,1.0
8,2,0.3,faithful,0.5,1.0580136974303045e-06,0.49999999939662576,0.33333333293108386
8,2,0.3,theta=1.0,0.5,1.0596057146150528e-06,0.5007523607255451,0.33383490715036346
8,2,0.3,cap=3,0.5,1.0580317020281171e-06,0.500008508075594,0.33333900538372935
8,2,0.3,cap=5,0.5,1.0580173868124376e-06,0.500001742938386,0.3333344952922573
8,2,0.1,baseline,0.0,3.1086244689504383e-15,1.0,1.0
8,2,0.1,faithful,0.5,1.6209256159527285e-14,5.214285714285714,3.476190476190476
8,2,0.1,theta=1.0,0.5,2.842170943040401e-14,9.142857142857142,6.095238095238095
8,2,0.1,cap=3,0.5,-1.0658141036401503e-14,-3.4285714285714284,-2.2857142857142856
8,2,0.1,cap=5,0.5,2.8683166952703232e-11,9226.964285714286,6151.309523809524
8,3,1.0,baseline,0.0,0.00040510624266154593,1.0,1.0
8,3,1.0,faithful,0.5,0.00020255312133066194,0.49999999999972594,0.3333333333331506
8,3,1.0,theta=1.0,0.5,0.00020454775353651033,0.5049237261628768,0.3366158174419179
8,3,1.0,cap=3,0.5,0.00020372399481982661,0.5028902874499317,0.3352601916332878
8,3,1.0,cap=5,0.5,0.00020290308998305306,0.5008638935060117,0.33390926233734114
8,3,0.3,baseline,0.0,1.3558274170044626e-08,1.0,1.0
8,3,0.3,faithful,0.5,6.779136252355045e-09,0.49999993858604286,0.33333329239069526
8,3,0.3,theta=1.0,0.5,6.779490080432993e-09,0.5000260354235541,0.33335069028236936
8,3,0.3,cap=3,0.5,6.779143912893915e-09,0.5000005035944484,0.3333336690629656
8,3,0.3,cap=5,0.5,6.779249828170464e-09,0.5000083154497937,0.33333887696652914
8,3,0.1,baseline,0.0,0.0,nan,nan
8,3,0.1,faithful,0.5,-4.440892098500626e-16,nan,nan
8,3,0.1,theta=1.0,0.5,6.8833827526759706e-15,nan,nan
8,3,0.1,cap=3,0.5,4.773959005888173e-15,nan,nan
8,3,0.1,cap=5,0.5,1.7763568394002505e-15,nan,nan
