n,seed,T,x,shell,shell_real,sym_diff,tv,t_cold,t_med,t_mean,calls_mean
8,1,1.0,119,2,2,0,0.007,1.6353,0.19428,0.1956,1.0
8,1,0.1,119,2,2,0,0.007,1.9584,0.20665,0.20963,1.0
8,2,1.0,92,0,0,0,nan,nan,nan,nan,nan
8,2,0.1,92,0,0,0,nan,nan,nan,nan,nan
8,3,1.0,187,2,2,0,0.014,1.5479,0.01024,0.01041,1.0
8,3,0.1,187,2,2,0,0.014,1.5563,0.01016,0.01036,1.0
10,1,1.0,240,5,5,0,0.032,3.5011,0.03317,0.03362,1.0
10,1,0.1,823,5,5,0,0.032,3.4326,0.03765,0.03815,1.0
10,2,1.0,404,3,3,0,0.0047,6.4573,0.03598,0.03645,1.0
10,2,0.1,436,2,2,0,0.004,5.9346,0.03601,0.03684,1.0
10,3,1.0,150,1,1,0,0.0,5.7238,0.03283,0.0334,1.0
10,3,0.1,150,1,1,0,0.0,4.9844,0.03204,0.03258,1.0
