n,seed,regime,x_idx,host,n_samp,aborts,empty,t_cold,t_med,t_p90,t_mean,m_mode,cell_med
16,1,rand,0,vm,30,0,0,1.248,0.1357,0.1558,0.1296,8,10.0
16,1,rand,1,vm,30,0,0,0.61,0.0638,0.068,0.0619,10,9.0
16,1,cold,0,vm,30,0,0,2.581,0.1377,0.1573,0.1418,8,4.0
16,1,cold,1,vm,30,0,0,2.74,0.1407,0.2534,0.1651,8,5.0
16,2,rand,0,vm,30,0,0,0.494,0.0625,0.0722,0.0611,10,7.0
16,2,rand,1,vm,30,0,0,0.72,0.0684,0.1049,0.0757,10,6.5
16,2,cold,0,vm,30,0,0,25.762,2.0829,2.3272,2.4746,4,3.0
16,2,cold,1,vm,30,0,0,6.062,1.9753,2.3529,1.7648,4,10.0
16,3,rand,0,vm,30,0,0,0.612,0.0635,0.067,0.0621,10,6.5
16,3,rand,1,vm,30,0,0,0.694,0.0647,0.0672,0.0634,10,8.0
16,3,cold,0,vm,30,0,0,18.404,2.1386,2.3544,2.1965,4,7.0
16,3,cold,1,vm,30,0,0,31.606,2.4585,10.4954,4.672,4,4.0
20,1,rand,0,vm,30,0,0,3.614,0.1146,0.1277,0.1152,14,2.5
20,1,rand,1,vm,30,0,0,3.043,0.1459,0.1609,0.1601,13,7.0
20,1,cold,0,vm,30,0,0,1352.672,74.586,148.2643,107.2692,4,6.0
