seed,T,E_per_n,amc_log2S,amc_count_s,amc_status,cms_med,cms_aborts,cms_empties,cms_censored,exact_enum,exact_enum_status,exact_enum_s,exact_count,exact_count_s
1,30.0,-0.0879,16.67,14.4,ok,0.154,0,0,0,17,ok,0.02,TIMEOUT:27293,120.0
1,15.0,-0.8875,15.7,34.4,ok,0.294,0,0,0,17,ok,0.03,TIMEOUT:18148,120.0
1,8.0,-0.9292,15.64,39.9,ok,0.288,0,0,0,17,ok,0.03,TIMEOUT:16576,120.04
1,5.0,-2.1758,-2.0,120.0,timeout,4.012,0,0,0,17,ok,0.11,SAT:961,101.81
1,3.5,-2.5663,-2.0,120.0,timeout,435.803,0,0,1,17,ok,0.51,SAT:155,48.23
1,2.5,-3.1206,-2.0,120.0,timeout,278.525,1,0,1,17,ok,24.26,SAT:4,24.1
1,1.5,-2.9599,-2.0,120.0,timeout,351.11,1,0,1,17,ok,35.93,SAT:9,36.3
1,0.5,-2.6416,-2.0,120.0,timeout,744.307,0,0,1,17,ok,0.21,SAT:94,41.3
2,30.0,-0.4448,16.61,19.0,ok,0.144,0,0,0,17,ok,0.01,TIMEOUT:26010,120.0
2,15.0,0.3287,16.86,15.2,ok,0.165,0,0,0,17,ok,0.02,TIMEOUT:25409,120.07
2,8.0,-1.9234,-2.0,120.0,timeout,4.439,0,0,0,17,ok,0.09,TIMEOUT:2642,120.03
2,5.0,-2.1263,-2.0,120.0,timeout,4.275,0,0,0,17,ok,0.49,SAT:1277,119.84
2,3.5,-2.7619,-2.0,120.0,timeout,1475.698,0,0,1,17,ok,20.84,SAT:44,50.87
