n,seed,T_factor,T,E_per_n,mode,size,samples,t_med,t_max,censored,cms_1sample_s
16,1,0.55,2.2,-1.7353,enum,262,5,3.544,3.648,0,12.766
16,1,0.35,1.4,-2.2873,enum,3,5,1.298,1.31,0,59.384
16,2,0.55,2.2,-2.1207,enum,55,5,2.578,2.638,0,34.65
16,2,0.35,1.4,-2.3559,enum,4,5,2.078,2.097,0,59.569
20,1,0.55,2.46,-2.5738,enum,146,5,47.065,48.087,0,608.738
20,1,0.35,1.565,-3.2931,empty,0,5,31.337,31.836,0,216.293
20,2,0.55,2.46,-2.7771,enum,34,5,41.074,41.933,0,1383.722
20,2,0.35,1.565,-2.839,enum,26,5,40.691,41.146,0,316.912
24,1,0.55,2.694,-1.6084,hash,-1,5,27.163,85.141,0,
24,1,0.35,1.715,-2.9311,abort,10,1,301.656,301.656,1,
24,2,0.55,2.694,-3.2388,abort,11,1,300.086,300.086,1,
24,2,0.35,1.715,-3.259,abort,48,1,301.67,301.67,1,
28,1,0.55,2.91,-3.5438,abort,0,1,305.335,305.335,1,
28,1,0.35,1.852,-3.5438,abort,0,1,300.815,300.815,1,
28,2,0.55,2.91,-3.2849,abort,17,1,305.176,305.176,1,
28,2,0.35,1.852,-3.1536,abort,10,1,301.014,301.014,1,
32,1,0.55,3.111,-3.4996,abort,0,1,305.501,305.501,1,
32,1,0.35,1.98,-3.8413,abort,0,1,302.533,302.533,1,
32,2,0.55,3.111,-3.4782,abort,0,1,302.903,302.903,1,
32,2,0.35,1.98,-3.9948,abort,0,1,304.814,304.814,1,
