n,seed,T_factor,T,n_atoms,enum_status,atom_E_span,rho_times_n,acc_portal,acc_local,try_portal
16,1,0.55,2.2,44,complete,3.547,0.5,0.2237,0.2203,2025
16,1,0.55,2.2,44,complete,3.547,1.0,0.2978,0.1969,2045
16,1,0.55,2.2,44,complete,3.547,2.0,0.2187,0.2067,2021
16,1,0.35,1.4,4,complete,1.592,0.5,0.4629,0.1215,2033
16,1,0.35,1.4,4,complete,1.592,1.0,0.357,0.1242,2011
16,1,0.35,1.4,4,complete,1.592,2.0,0.1549,0.1317,1995
16,2,0.55,2.2,159,complete,3.931,0.5,0.3136,0.2099,2028
16,2,0.55,2.2,159,complete,3.931,1.0,0.2242,0.2167,2034
16,2,0.55,2.2,159,complete,3.931,2.0,0.1911,0.2189,2004
16,2,0.35,1.4,48,complete,3.381,0.5,0.3006,0.1133,1996
16,2,0.35,1.4,48,complete,3.381,1.0,0.2562,0.1282,1987
16,2,0.35,1.4,48,complete,3.381,2.0,0.1241,0.1239,2006
20,1,0.55,2.46,5,complete,1.935,0.5,0.1895,0.1308,2005
20,1,0.55,2.46,5,complete,1.935,1.0,0.2578,0.1232,1963
20,1,0.55,2.46,5,complete,1.935,2.0,0.1388,0.1104,2017
20,1,0.35,1.565,1,complete,0.0,0.5,0.5403,0.0474,2036
20,1,0.35,1.565,1,complete,0.0,1.0,0.4375,0.0336,2007
20,1,0.35,1.565,1,complete,0.0,2.0,0.1882,0.0355,2056
20,2,0.55,2.46,30,timeout,3.705,0.5,0.274,0.1727,1956
20,2,0.55,2.46,30,timeout,3.705,1.0,0.2696,0.1783,1992
20,2,0.55,2.46,30,timeout,3.705,2.0,0.1708,0.1468,1950
20,2,0.35,1.565,4,complete,1.807,0.5,0.3401,0.085,2011
20,2,0.35,1.565,4,complete,1.807,1.0,0.2667,0.0815,2025
20,2,0.35,1.565,4,complete,1.807,2.0,0.116,0.0773,1983
