T_factor,build_s,gain,gain_amortized,n,n_atoms,note,portal_acc,portal_ess_sec,portal_ess_step,portal_rhat,pticm_ess_sec,pticm_ess_step,pticm_rhat,screen_rhat,seed,valid_for_k2
0.55,,,,50,,baseline mixes; INVALID for K2,,,,,,,,1.015,1,0
0.35,31.3,0.891,0.101,50,3,,0.0091,120.4474,0.00240628,1.581,135.1127,0.0020889,1.013,1.724,1,1
0.55,31.5,1.162,0.139,50,3,,0.0,198.9921,0.00426241,1.007,171.191,0.00259349,1.002,1.6086,2,1
0.35,31.0,1.188,0.136,50,3,,0.0,250.0308,0.00502513,1.002,210.4301,0.00254822,1.055,2.5726,2,1
0.55,,,,100,,baseline mixes; INVALID for K2,,,,,,,,1.0491,1,0
0.35,38.3,0.475,0.049,100,2,,0.0,38.8812,0.00086091,1.218,81.8684,0.00129083,1.01,1.2749,1,1
0.55,,,,100,,baseline mixes; INVALID for K2,,,,,,,,1.1166,2,0
0.35,37.0,0.459,0.049,100,2,,0.0,30.5642,0.00067936,1.481,66.5939,0.00109667,1.022,1.3645,2,1
0.55,,,,200,,baseline mixes; INVALID for K2,,,,,,,,1.0878,1,0
0.35,57.7,1.754,0.153,200,1,,0.0,39.6686,0.00109246,1.037,22.616,0.00052709,1.023,2.5921,1,1
