n,seed,T_factor,budget_s,arm,n_atoms,cov_weighted,cov_unweighted,n_modes,shots,wall_s
12,1,0.55,2.0,quench,801,1.0,1.0,7,1280,2.05
12,1,0.55,2.0,solver,130,0.9996,0.8571,7,0,2.0
12,1,0.55,2.0,pticm,360,1.0,1.0,7,0,2.0
12,1,0.55,2.0,greedy,8,1.0,1.0,7,0,2.05
12,1,0.55,10.0,quench,2575,1.0,1.0,7,6272,10.05
12,1,0.55,10.0,solver,486,1.0,1.0,7,0,10.0
12,1,0.55,10.0,pticm,1181,1.0,1.0,7,0,10.0
12,1,0.55,10.0,greedy,8,1.0,1.0,7,0,10.47
12,1,0.35,2.0,quench,1002,1.0,1.0,5,1408,2.06
12,1,0.35,2.0,solver,130,1.0,1.0,5,0,2.0
12,1,0.35,2.0,pticm,226,1.0,1.0,5,0,2.0
12,1,0.35,2.0,greedy,8,1.0,1.0,5,0,2.03
12,1,0.35,10.0,quench,2705,1.0,1.0,5,7360,10.13
12,1,0.35,10.0,solver,379,1.0,1.0,5,0,10.0
12,1,0.35,10.0,pticm,637,1.0,1.0,5,0,10.0
12,1,0.35,10.0,greedy,8,1.0,1.0,5,0,10.35
12,2,0.55,2.0,quench,961,1.0,1.0,4,1600,2.1
12,2,0.55,2.0,solver,472,1.0,1.0,4,0,2.01
12,2,0.55,2.0,pticm,297,1.0,1.0,4,0,2.0
12,2,0.55,2.0,greedy,5,1.0,1.0,4,0,2.06
12,2,0.55,10.0,quench,2406,1.0,1.0,4,6208,10.0
12,2,0.55,10.0,solver,589,1.0,1.0,4,0,10.0
12,2,0.55,10.0,pticm,749,1.0,1.0,4,0,10.0
12,2,0.55,10.0,greedy,5,1.0,1.0,4,0,10.54
12,2,0.35,2.0,quench,974,1.0,1.0,1,1536,2.04
12,2,0.35,2.0,solver,91,1.0,1.0,1,0,2.0
12,2,0.35,2.0,pticm,126,1.0,1.0,1,0,2.0
12,2,0.35,2.0,greedy,5,1.0,1.0,1,0,2.07
12,2,0.35,10.0,quench,2626,1.0,1.0,1,6208,10.04
12,2,0.35,10.0,solver,218,1.0,1.0,1,0,10.0
12,2,0.35,10.0,pticm,314,1.0,1.0,1,0,10.0
12,2,0.35,10.0,greedy,5,1.0,1.0,1,0,10.32
12,3,0.55,2.0,quench,795,1.0,1.0,4,1216,2.04
12,3,0.55,2.0,solver,382,1.0,1.0,4,0,2.0
12,3,0.55,2.0,pticm,258,1.0,1.0,4,0,2.0
12,3,0.55,2.0,greedy,6,1.0,1.0,4,0,2.06
12,3,0.55,10.0,quench,2682,1.0,1.0,4,7168,10.13
12,3,0.55,10.0,solver,409,1.0,1.0,4,0,10.01
