n,seed,T_factor,chain,n_atoms,ess_total,ess_per_sec,ess_per_step,rhat,wall_s,acc_local,acc_portal
12,1,0.55,portal-quench,1024,1329.881789,578.635263,0.016624,1.002625,2.298308,0.208661,0.038515
12,1,0.55,portal-solver,486,1977.651402,980.241318,0.024721,1.003015,2.017515,0.209672,0.07485
12,1,0.55,portal-pticm,1024,1474.312247,567.323683,0.018429,1.001161,2.598714,0.207187,0.033036
12,1,0.55,portal-greedy,8,2055.191622,1427.088151,0.02569,1.002715,1.440129,0.20696,0.0783
12,1,0.55,local-MH,0,1355.44604,1424.501664,0.016943,1.002913,0.951523,0.208681,0.0
12,1,0.55,PT-ICM,0,636.220519,721.396657,0.011045,1.002077,0.881929,-1,-1
12,1,0.35,portal-quench,1024,1895.60395,708.549064,0.023695,1.004051,2.675332,0.12006,0.006589
12,1,0.35,portal-solver,379,1934.187821,1021.163808,0.024177,1.001503,1.894101,0.11958,0.017696
12,1,0.35,portal-pticm,637,1847.764695,917.892776,0.023097,1.002412,2.013051,0.119643,0.010824
12,1,0.35,portal-greedy,8,2204.398594,1493.004136,0.027555,1.001366,1.476485,0.119952,0.058013
12,1,0.35,local-MH,0,2175.352785,2773.714929,0.027192,1.004232,0.784274,0.119831,0.0
12,1,0.35,PT-ICM,0,353.29435,536.030236,0.006134,1.001289,0.659094,-1,-1
12,2,0.55,portal-quench,1024,2687.813418,1023.274613,0.033598,1.003418,2.626678,0.093154,0.005224
12,2,0.55,portal-solver,589,2745.004363,1139.995227,0.034313,1.002287,2.407909,0.092553,0.008281
12,2,0.55,portal-pticm,749,1949.680076,892.064114,0.024371,1.004353,2.185583,0.092955,0.007414
12,2,0.55,portal-greedy,5,2798.14709,2393.3699,0.034977,1.001069,1.169124,0.092954,0.102951
12,2,0.55,local-MH,0,2965.279106,3118.255301,0.037066,1.002126,0.950942,0.092875,0.0
12,2,0.55,PT-ICM,0,388.70005,417.271138,0.006748,1.01484,0.931529,-1,-1
12,2,0.35,portal-quench,1024,3224.794064,1318.227116,0.04031,1.000824,2.446311,0.051155,0.002302
12,2,0.35,portal-solver,218,3282.999084,2147.957894,0.041037,1.001381,1.528428,0.051218,0.007851
12,2,0.35,portal-pticm,314,3180.794582,1821.678893,0.03976,1.001027,1.746079,0.051336,0.006776
12,2,0.35,portal-greedy,5,3459.051526,2235.292499,0.043238,1.000747,1.547472,0.051257,0.10559
12,2,0.35,local-MH,0,3203.791113,3362.471009,0.040047,1.000915,0.952809,0.059906,0.0
12,2,0.35,PT-ICM,0,314.983094,363.436627,0.005468,1.199673,0.86668,-1,-1
12,3,0.55,portal-quench,1024,2144.025829,1104.142127,0.0268,1.002932,1.941802,0.06339,0.003487
12,3,0.55,portal-solver,409,2168.629454,1543.190337,0.027108,1.001897,1.40529,0.063849,0.00767
12,3,0.55,portal-pticm,767,2499.396408,1449.065854,0.031242,1.001814,1.724833,0.063219,0.004425
12,3,0.55,portal-greedy,6,2187.892378,2043.721688,0.027349,1.00269,1.070543,0.064394,0.091359
12,3,0.55,local-MH,0,2161.948198,2947.757908,0.027024,1.002838,0.733421,0.063988,0.0
12,3,0.55,PT-ICM,0,518.594912,772.155617,0.009003,1.006775,0.67162,-1,-1
12,3,0.35,portal-quench,1024,3125.067869,1289.972242,0.039063,1.001209,2.422585,0.027347,0.001615
12,3,0.35,portal-solver,368,3083.627054,1584.361449,0.038545,1.001277,1.94629,0.027374,0.002978
12,3,0.35,portal-pticm,265,3148.970017,1924.47331,0.039362,1.001155,1.636276,0.027241,0.004166
12,3,0.35,portal-greedy,6,3677.580269,3033.778694,0.04597,1.000892,1.212211,0.027089,0.094049
12,3,0.35,local-MH,0,2302.779274,2378.045817,0.028785,3.675555,0.968349,0.048944,0.0
12,3,0.35,PT-ICM,0,376.536082,430.482654,0.006537,1.125185,0.874684,-1,-1
